2026-03-21 11:32:47,267 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 3.12ms | Query: SELECT s.base_salary, s.commission_rate, s.total_revenue, r.name, s.last_paid_at FROM staff s JOIN staff_roles r ON r.id = s.role_id WHERE s.id = %s
2026-03-21 11:32:47,267 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 13.47ms | Query: SELECT id, name FROM outcome_categories ORDER BY name
2026-03-21 11:32:47,267 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 13.92ms | Query: SELECT s.id, s.first_name, s.last_name, s.phone, s.email, s.bio, s.base_salary, s.commission_rate, s.last_paid_at, s.total_revenue, s.is_active, r.name, COALESCE(SUM(sp.amount), 0) AS commission_incom...
2026-03-21 11:32:47,270 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.08ms | Query: SELECT lab_cost FROM income_records LIMIT 0
2026-03-21 11:32:47,270 | INFO     | app.py:39 | RESP | GET /api/outcome/categories | Status: 200
2026-03-21 11:32:47,271 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.05ms | Query: SELECT id FROM staff WHERE id = %s
2026-03-21 11:32:47,272 | INFO     | app.py:39 | RESP | GET /api/staff | Status: 200
2026-03-21 11:32:47,278 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.36ms | Query: SELECT sp.id, sp.payment_date, sp.note, sp.amount, sp.created_at FROM salary_payments sp WHERE sp.staff_id = %s ORDER BY sp.payment_date DESC, sp.created_at DESC LIMIT %s OFFSET %s
2026-03-21 11:32:47,279 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 6.81ms | Query: SELECT COALESCE( SUM( (EXTRACT(EPOCH FROM (end_time - start_time)) / 3600.0) * (COALESCE(completion_percent, 100) / 100.0) * COALESCE(pay_multiplier, 1.0) ), 0 ) FROM shifts WHERE staff_id = %s AND st...
2026-03-21 11:32:47,281 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.86ms | Query: SELECT COUNT(*) FROM salary_payments WHERE staff_id = %s
2026-03-21 11:32:47,285 | INFO     | app.py:39 | RESP | GET /api/staff/14/salary-notes | Status: 200
